InstAddress		Total_Execution	Total_Cycles	Instruction
900075ae		2544                	7632                	MOV   R21, R10
900075b0		2544                	22896               	MUL   R30, R10, 0x200
900075b4		2544                	7632                	ADD   R10, R11
900075b6		2544                	7632                	MOV   R22, R10
900075b8		2544                	20352               	MULC  4, R10
900075ba		2544                	7632                	MOV   R11, R9
900075bc		2544                	7632                	ADD   R10, R9
900075be		2544                	22896               	STX   R1, R9, 0xfffc
900075c2		2544                	25440               	LD    R9, R8
900075c4		2544                	534240              	LD    R17, R10
900075c6		2544                	20352               	MULC  4, R10
900075c8		2544                	7632                	ADD   R10, R11
900075ca		2544                	25440               	LD    R11, R9
900075cc		2544                	33072               	JSR   R31, JMP, 0x00000078
900075d2		2544                	536784              	LDX   R1, R11, 0xfffc
900075d6		2544                	20352               	ST    R11, R23
900075d8		2544                	7632                	MOV   R22, R11
900075da		2544                	20352               	MULC  4, R11
900075dc		2544                	10176               	ADDX  R28, R10, 0x200
900075e0		2544                	7632                	ADD   R11, R10
900075e2		2544                	10176               	ADDX  R28, R9, 0x400
900075e6		2544                	7632                	MOV   R21, R8
900075e8		2544                	22896               	MUL   R30, R8, 0x200
900075ec		2544                	7632                	ADD   R8, R9
900075ee		2544                	7632                	ADD   R11, R9
900075f0		2544                	25440               	LD    R9, R11
900075f2		2544                	20352               	ST    R10, R11
900075f4		2544                	10176               	ADDX  R22, R22, 0x1
900075f8		2576                	10304               	COMP  R30, R22, 0x80
900075fc		2576                	30688               	JMP   R31, JL, 0x00006b5a
90007602		32                  	6752                	LD    --R0, R22
90007604		32                  	6752                	LD    --R0, R21
90007606		32                  	96                  	MOV   R17, R1
90007608		32                  	6752                	LD    --R0, R17
9000760a		32                  	6752                	LD    --R0, R16
9000760c		32                  	352                 	JMP   R16, JMP
9000760e		32                  	288                 	ST    R0++, R16
90007610		32                  	288                 	ST    R0++, R17
90007612		32                  	96                  	MOV   R1, R17
90007614		32                  	96                  	ADDC  12, R1
90007616		32                  	288                 	ST    R0++, R21
90007618		32                  	288                 	ST    R0++, R22
9000761a		32                  	288                 	STX   R17, R2, 0x0
9000761e		32                  	6720                	LD    R17, R8
90007620		32                  	128                 	MOV   R30, R9, 0x20
90007624		32                  	416                 	JSR   R31, JMP, 0x00000718
9000762a		32                  	288                 	STX   R1, R23, 0xfff8
9000762e		32                  	96                  	MOVC  0, R21
90007630		32                  	6752                	LDX   R1, R11, 0xfff8
90007634		32                  	128                 	ADDX  R11, R21, 0x1
90007638		32                  	352                 	JMP   R31, JMP, 0x00006c42
9000763e		496                 	104160              	LD    R17, R11
90007640		496                 	1984                	ADDX  R11, R22, 0x1
90007644		496                 	5952                	JMP   R31, JMP, 0x00006c34
9000764a		42160               	168640              	ADDX  R28, R11, 0x400
9000764e		42160               	126480              	MOV   R21, R10
90007650		42160               	379440              	MUL   R30, R10, 0x200
90007654		42160               	126480              	ADD   R10, R11
90007656		42160               	126480              	MOV   R22, R10
90007658		42160               	337280              	MULC  4, R10
9000765a		42160               	126480              	MOV   R11, R9
9000765c		42160               	126480              	ADD   R10, R9
9000765e		42160               	379440              	STX   R1, R9, 0xfffc
90007662		42160               	421600              	LD    R9, R8
